e_pop_num	e_inc_100k	c_newinc_100k	e_abs_inc	c_abs_inc	e_inc_rr_num	e_inc_rr_num_lo	e_inc_rr_num_hi	composite_rr_pct	composite_rr_pct_hi	composite_rr_pct_lo	composite_rr_sd	composite_rr_var
1322920	13	11	171.9796	145.5212	45	29	64	30.9233293843096	43.9798462354626	19.928367825444	0.0613558122704556	0.0037645356993674
1136281	329	263	3738.36449	2988.41903	360	250	500	12.046503398153	16.7312547196569	8.36562735982845	0.0213408861220114	0.000455433420472657
109224414	151	104	164928.86514	113593.39056	1600	1000	2200	1.40853265503584	1.93673240067428	0.880332909397401	0.00269489666142061	7.26246801573597e-06
883483	54	44	477.08082	388.73252	3	2	5	0.771738881017724	1.28623146836287	0.514492587345149	0.0019687216352493	3.87586487709866e-06
5522576	4.7	4.1	259.561072	226.425616	13	4	26	5.74139985998757	11.4827997199751	1.76658457230387	0.0247862631318145	0.000614358840039546
64990511	8.9	7.4	5784.155479	4809.297814	110	76	140	2.28723618819751	2.91102787588775	1.58027227548192	0.00339478469491282	1.15245631248143e-05
277679	22	19	61.08938	52.75901	2	1	3	3.79082170040719	5.68623255061079	1.8954108502036	0.00967046352144691	9.35178647196354e-05
2119275	525	268	11126.19375	5679.657	450	210	770	7.92301366086015	13.5571567085829	3.69740637506807	0.025152424320191	0.000632644449182934
2280094	174	105	3967.36356	2394.0987	120	50	210	5.01232467984716	8.77156818973253	2.08846861660298	0.0170487234008407	0.000290658969598373
4002942	80	58	3202.3536	2321.70636	570	450	700	24.550908324169	30.1502382928391	19.3822960453965	0.0274692404271493	0.000754559169644533
83124418	7.3	6.3	6068.082514	5236.838334	190	89	330	3.62814331629127	6.30151207566378	1.69949871131538	0.0117398300110929	0.000137823608689356
29767102	148	47	44055.31096	13990.53794	870	410	1500	6.21848855084124	10.721531984209	2.9305520756838	0.0198749487462378	0.000395013587665581
10522246	4.5	3.9	473.50107	410.367594	10	1	30	2.43683959118858	7.31051877356573	0.243683959118858	0.0180276398327726	0.000324995797940171
56564	100	87	56.564	49.21068	0	0	0	0	0	0	0	0
111454	2.1	1.8	2.340534	2.006172	0	0	0	0	0	0	0	0
165768	49	43	81.22632	71.28024	0	0	0	0	0	0	0	0
17247849	26	21	4484.44074	3622.04829	120	42	240	3.31304252158383	6.62608504316766	1.15956488255434	0.0139452044913605	0.000194468728305861
12414293	176	115	21849.15568	14276.43695	680	290	1200	4.7630932170369	8.40545861830041	2.03131916608927	0.0162605598270693	0.000264405805889699
1874303	361	108	6766.23383	2024.24724	180	73	340	8.89219441395904	16.7963672263671	3.60627884566117	0.0336481846446579	0.00113220032988099
779006	83	66	646.57498	514.14396	32	15	55	6.22393774692987	10.6973930025357	2.91747081887338	0.0198467402644447	0.000393893099124332
11123178	176	120	19576.79328	13347.8136	570	200	1100	4.27036230113372	8.24105005481947	1.4983727372399	0.017200707442805	0.000295864336532968
9587522	37	30	3547.38314	2876.2566	81	32	150	2.81616042184831	5.2151118923117	1.11255720369316	0.0104657007362718	0.000109530891901199
9707499	6.4	6.2	621.279936	601.864938	22	13	34	3.65530513757889	5.64910793989465	2.15995303584207	0.00890090536748106	7.92261163608532e-05
336713	2.7	2.4	9.091251	8.081112	0	0	0	0	0	0	0	0
1352642280	199	141	2691758.1372	1907225.6148	130000	77000	198000	6.81618362249358	10.3815719788748	4.03727799178466	0.0161844234364545	0.000261935561970458
267670543	316	213	845838.91588	570138.25659	24000	17000	32000	4.20950527746448	5.61267370328597	2.98173290487067	0.00671158366942678	4.50453553517162e-05
81800188	14	11	11452.02632	8998.02068	190	100	310	2.11157549817945	3.44520212860858	1.11135552535761	0.00595369031441575	3.54464283599679e-05
38433600	42	18	16142.112	6918.048	1100	800	1500	15.9004389677551	21.6824167742115	11.5639556129128	0.0258124009216803	0.000666280041341562
4818690	7	6.1	337.3083	293.94009	3	2	5	1.02061613983992	1.70102689973321	0.680410759893283	0.00260361260163246	6.77879857937935e-06
8381516	4	3.5	335.26064	293.35306	31	17	48	10.5674711557466	16.3625359830915	5.79506482734491	0.0269578345809862	0.000726724845295816
60627291	7	6.2	4243.91037	3758.892042	170	110	250	4.52260927157535	6.65089598761081	2.92639423454876	0.00950127998230116	9.02743213020767e-05
2934847	2.9	2.4	85.110563	70.436328	0	0	0	0	0	0	0	0
127202192	14	12	17808.30688	15264.26304	510	220	930	3.34113739172042	6.092662302549	1.44127495329116	0.0118657840542292	0.000140796831221599
9965318	5	4	498.2659	398.61272	36	14	68	9.03132243246026	17.0591645946472	3.51218094595677	0.0345586317568632	0.00119429902890648
18319618	68	70	12457.34024	12823.7326	4800	3000	6900	37.4305995744172	53.8064868882247	23.3941247340108	0.077582556515852	0.00601905307553537
51392565	292	184	150066.2898	94562.3196	2300	1100	4100	2.43225844049621	4.33576504610194	1.16325403675906	0.00809314032995633	6.54989204003656e-05
115847	349	279	404.30603	323.21313	10	2	25	3.09393371488343	7.73483428720857	0.618786742976685	0.0181531825107956	0.000329538035270256
4137312	23	20	951.58176	827.4624	17	7	32	2.05447401597946	3.86724520654957	0.845959888932718	0.00770736050412462	5.940340594054e-05
6304030	116	101	7312.6748	6367.0703	3000	2400	3600	47.1174317016729	56.5409180420075	37.6939453613383	0.0480790119404826	0.00231159138917306
7061507	162	93	11439.64134	6567.20151	160	65	280	2.43634978698864	4.26361212723013	0.989767100964136	0.00835164547516834	6.97499821428998e-05
1928459	29	0	559.25311	0	63	42	89	Inf	Inf	Inf	NA	NA
6859408	11	9.6	754.53488	658.503168	9	2	20	1.36673602153422	3.03719115896493	0.303719115896493	0.00697314296701133	4.86247228383795e-05
2108328	611	333	12881.88408	7020.73224	800	470	1200	11.3948228283379	17.0922342425069	6.69445841164853	0.0265249383440264	0.000703572354154402
4818973	308	162	14842.43684	7806.73626	390	150	720	4.99568561062161	9.22280420422452	1.92141754254677	0.018625986381831	0.000346927368696153
6678559	40	27	2671.4236	1803.21093	99	42	180	5.49020629549977	9.98219326454504	2.32917842839384	0.019522997030998	0.000381147413072355
2801264	44	38	1232.55616	1064.48032	230	180	290	21.6067874321998	27.2433406753823	16.9096597295477	0.0263614309842721	0.000694925043538543
604245	8	7	48.3396	42.29715	2	1	3	4.72845097128294	7.0926764569244	2.36422548564147	0.0120623749267422	0.000145500888873298
26262313	233	129	61191.18929	33878.38377	430	82	1100	1.2692459088936	3.24690813903015	0.242042243091339	0.00766547422433371	5.87594950839244e-05
18143217	181	86	32839.22277	15603.16662	420	110	930	2.69176129582342	5.96032858360901	0.704985101287087	0.013406488475311	0.000179733933238648
31528033	92	80	29005.79036	25222.4264	480	360	620	1.90306829480926	2.45812988079529	1.42730122110694	0.00262966494818456	6.91513773971051e-06
515696	33	27	170.17968	139.23792	4	0	12	2.87278063332173	8.61834189996518	0	0.0219855660713398	0.000483365115477246
19077749	53	36	10111.20697	6867.98964	330	150	580	4.80489950185772	8.44497488205297	2.18404522811715	0.0159717593212648	0.00025509709581641
439248	14	13	61.49472	57.10224	0	0	0	0	0	0	0	0
58413	434	734	253.51242	428.75142	6	4	10	1.39941227483282	2.33235379138803	0.932941516555211	0.00356992927253269	1.27443950108858e-05
4403313	93	55	4095.08109	2421.82215	130	54	230	5.36785907255824	9.49698143606458	2.22972607629342	0.0185389167341101	0.000343691433674267
1267185	13	10	164.73405	126.7185	1	1	2	0.78915075541456	1.57830151082912	0.78915075541456	0.00201313968218	4.0527313799678e-06
126190788	23	18	29023.88124	22714.34184	950	700	1200	4.18237960268366	5.2830058139162	3.08175339145112	0.00561543985322726	3.15331647452129e-05
112640	108	86	121.6512	96.8704	1	1	1	1.03230708245243	1.03230708245243	1.03230708245243	0	0
38682	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
3170216	428	122	13568.52448	3867.66352	720	340	1200	18.6158903502547	31.0264839170911	8.79083710984248	0.0567235887940016	0.00321756552567099
627809	15	13	94.17135	81.61517	0	0	0	0	0	0	0	0
4993	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
36029093	99	86	35668.80207	30985.01998	530	250	900	1.71050398012362	2.90462940020993	0.806841500058313	0.00535149974528473	2.86385495237825e-05
29496004	551	313	162522.98204	92322.49252	8300	4400	14000	8.9902252132133	15.1642352993959	4.76590252266729	0.0265263591243077	0.000703647728391744
53708320	338	257	181534.1216	138030.3824	11000	7400	16000	7.96925996200094	11.5916508538196	5.36113851989155	0.0158941641171633	0.000252624452983321
2448301	524	319	12829.09724	7810.08019	900	620	1200	11.5235692605609	15.3647590140813	7.93845882394199	0.018944643342192	0.000358899511362861
10670	54	47	5.7618	5.0149	0	0	0	0	0	0	0	0
28095714	151	113	42424.52814	31748.15682	1400	770	2300	4.40970481510933	7.24451505339389	2.42533764831013	0.012293819910928	0.000151138008002329
17059560	5.3	4.6	904.15668	784.73976	10	2	23	1.27430780364691	2.93090794838788	0.254861560729381	0.00682664894810842	4.66031358607099e-05
279993	15	13	41.99895	36.39909	0	0	0	0	0	0	0	0
4743131	7.3	6.4	346.248563	303.560384	10	3	22	3.29423749839505	7.2473224964691	0.988271249518514	0.0159669674667107	0.000254944050082997
6465501	41	33	2650.85541	2133.61533	40	8	96	1.87475218412496	4.49940524189991	0.374950436824992	0.0105215683802932	0.000110703401181185
22442822	87	47	19525.25514	10548.12634	600	260	1100	5.68821400749358	10.4283923470716	2.46489273658055	0.0203150500267628	0.000412701257589875
195874683	219	53	428965.55577	103813.58199	21000	13000	32000	20.2285670116102	30.8244830653107	12.5224462452825	0.0466888694388475	0.00217985052947775
1620	71	123	1.1502	1.9926	0	0	0	0	0	0	0	0
2082957	13	10	270.78441	208.2957	0	0	0	0	0	0	0	0
56882	95	83	54.0379	47.21206	4	0	13	8.47241149824854	27.5353373693078	0	0.0702432075747647	0.00493410821039148
5337962	4.1	3.5	218.856442	186.82867	11	4	22	5.88774731415687	11.7754946283137	2.14099902332977	0.0245777949106734	0.000604068002671123
4829473	5.9	5.1	284.938907	246.303123	8	2	17	3.24803027365593	6.90206433151885	0.812007568413982	0.0155358590895532	0.000241362917650454
212228286	265	170	562404.9579	360788.0862	28000	18000	40000	7.76078841596738	11.0868405942391	4.9890782674076	0.0155555161398763	0.000241974082377952
17907	109	95	19.51863	17.01165	2	0	6	11.7566491198679	35.2699473596036	0	0.0899743555091928	0.00809538464929461
4176869	52	41	2171.97188	1712.51629	75	31	140	4.37952038400756	8.17510471681411	1.81020175872312	0.0162369973420688	0.00026364008268635
8606323	432	324	37179.31536	27884.48652	2000	1200	2900	7.17244693950348	10.40004806228	4.30346816370209	0.0155524997412703	0.000241880248202213
6956066	43	37	2991.10838	2573.74442	69	22	140	2.68091887694117	5.43954554741686	0.854785728879793	0.011695815863615	0.000136792108715588
31989260	123	98	39346.7898	31349.4748	3200	2400	4100	10.2075075273669	13.0783690194389	7.6556306455252	0.0138335162599839	0.000191366172115239
106651394	554	348	590848.72276	371146.85112	18000	7700	32000	4.84983233609065	8.62192415305005	2.07465049932767	0.0167022287084755	0.000278964443830222
37921592	16	14	6067.45472	5309.02288	90	63	120	1.69522720158253	2.26030293544337	1.18665904110777	0.00273888748555	7.5015046585024e-06
10256193	24	21	2461.48632	2153.80053	32	17	51	1.48574575752379	2.36790730105355	0.789302433684516	0.00402705323308426	1.62171577420944e-05
3039596	0.95	0.82	28.876162	24.9246872	0	0	0	0	0	0	0	0
2781682	31	27	862.32142	751.05414	8	0	25	1.06516954956137	3.32865484237927	0	0.008491466434641	7.21050022106348e-05
51171706	66	62	33773.32596	31726.45772	1500	1300	1700	4.72791514652585	5.3583038327293	4.0975264603224	0.00321626880716044	1.03443850399133e-05
4051944	86	75	3484.67184	3038.958	1400	1100	1600	46.0684221367982	52.6496252991979	36.1966173931986	0.0419719589438759	0.00176164533758641
19506114	68	59	13264.15752	11508.60726	710	560	880	6.16929558859584	7.6464508703723	4.86592328114601	0.00709318262557728	5.03132397597914e-05
145734038	54	54	78696.38052	78696.38052	41000	26000	59000	52.0989653260866	74.97168181071	33.0383682555671	0.106972738661079	0.0114431668166515
12301970	59	47	7258.1623	5781.9259	180	130	240	3.11314954762737	4.15086606350317	2.24838578439755	0.00485326601812657	2.35541910427022e-05
52441	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
181889	3.2	2.7	5.820448	4.911003	0	0	0	0	0	0	0	0
110211	6.3	5.4	6.943293	5.951394	0	0	0	0	0	0	0	0
196129	6.4	5.6	12.552256	10.983224	0	0	0	0	0	0	0	0
33785	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
211028	124	71	261.67472	149.82988	21	1	70	14.0158958947307	46.7196529824358	0.667423614034797	0.117480176960207	0.0138015919786015
33702756	10	8.8	3370.2756	2965.842528	87	64	110	2.93339916663303	3.70889549804176	2.1579028352243	0.00395661393575884	1.5654793836641e-05
15854323	118	84	18708.10114	13317.63132	240	95	440	1.80212227109468	3.30389083034024	0.713340065641643	0.00660854786912908	4.36729049385704e-05
8802754	17	15	1496.46818	1320.4131	22	10	39	1.66614523894075	2.95362110539497	0.757338744973069	0.00560276112352526	3.1390932207286e-05
97096	18	15	17.47728	14.5644	0	0	0	0	0	0	0	0
7650150	298	224	22797.447	17136.336	640	260	1200	3.73475403376778	7.00266381331459	1.51724382621816	0.0139934183344297	0.000195815756682352
5757499	47	40	2706.02453	2302.9996	46	27	71	1.99739504948242	3.08293583724461	1.17238405078316	0.00487385659811594	2.37544781389983e-05
41940	19	17	7.9686	7.1298	1	0	2	14.0256388678504	28.0512777357009	0	0.0715593819788287	0.00512074514919192
5453014	5.8	5	316.274812	272.6507	6	1	16	2.2006178601412	5.86831429370986	0.366769643356866	0.0140345526794719	0.000196968668912873
2077837	5.3	4.7	110.125361	97.658339	0	0	0	0	0	0	0	0
652857	74	59	483.11418	385.18563	11	4	21	2.85576593290876	5.45191678100764	1.03846033923955	0.01125881745349	0.000126760970451012
15008226	262	111	39321.55212	16659.13086	4000	2200	6300	24.0108564703357	37.8170989407787	13.2059710586846	0.062783489495138	0.0039417665531861
57792518	520	395	300521.0936	228280.4461	11000	7200	16000	4.81863435433334	7.00892269721213	3.15401521374546	0.00983394766190477	9.67065266170823e-05
10975927	146	133	16024.85342	14597.98291	530	240	950	3.63063858388912	6.50774840508427	1.64406275496866	0.0124073613523358	0.000153942615727435
46692858	9.4	9.6	4389.128652	4482.514368	240	170	330	5.35413788549846	7.36193959256039	3.79251433556141	0.00910567667601779	8.29133477281744e-05
21228763	64	41	13586.40832	8703.79283	26	2	79	0.298720345346271	0.907650280090594	0.0229784881035593	0.00225681579588529	5.09321753655736e-06
41801533	71	48	29679.08843	20064.73584	1100	610	1700	5.48225508061311	8.47257603367481	3.04015963561273	0.0138582050970971	0.000192049848513209
575990	38	30	218.8762	172.797	27	14	45	15.6252712720707	26.0421187867845	8.10199251144406	0.0457656282534195	0.00209449272943018
9971638	5.5	4.8	548.44009	478.638624	17	7	30	3.55174011197224	6.26777666818631	1.46248122257681	0.0122584067490038	0.000150268536024023
8525611	6.4	5.5	545.639104	468.908605	18	7	35	3.83870114731633	7.46414111978175	1.49282822395635	0.0152329410607791	0.00023204249336117
16945057	19	16	3219.56083	2711.20912	130	61	220	4.79490862733598	8.1144607539532	2.24991866359612	0.0149605665570334	0.000223818551707426
9100835	84	63	7644.7014	5733.52605	1900	1400	2400	33.1384209896456	41.859058092184	24.4177838871073	0.0444930464415221	0.00197963118164744
69428453	153	122	106225.53309	84702.71266	4000	2300	6100	4.72239893432476	7.20165837484525	2.71537938723673	0.0114445892541034	0.000130978623195138
1267974	498	298	6314.51052	3778.56252	240	82	480	6.35162178023192	12.7032435604638	2.17013744157924	0.026870168670624	0.000722005964387782
7889093	36	31	2840.07348	2445.61883	48	24	81	1.96269342594161	3.31204515627646	0.981346712970803	0.00594565929414708	3.53508644420776e-05
